variant,tau,env,T,split,cap,base_seed,n_replicates,fingerprint,k,tau_off,uses_log_e,heldout_T,recommender,mean_regret,se,mean_q,mean_regret_disc,mean_regret_sel,mean_mu_star,mean_k_final,mean_search_frac,cap_hit_frac,mean_n_demoted,mean_regret_posterior_mean_shrunk,mean_regret_lcb,mean_regret_posterior_mean,mean_regret_empirical,mean_regret_oracle_prior,n_decisions,n_search_decided,n_committed_steps,n_guard_vetoes,n_cap_demoted,n_nonfinite_rows,seconds
all71_k16,0.7,beta_good_common,1000,val,64,5013000,500,a5157cd4b30e023e,16,0.64,True,False,posterior_mean_shrunk,0.03980786061286926,0.0012724427862288279,0.9531677066087723,0.03582887971401215,0.003978980898857116,0.9929755672216415,31.056,0.02911422845691382,0.0,0.0,0.03980786061286926,0.03981179547309875,0.03980786061286926,0.03979738926887512,0.03980786061286926,31500,908,467500,0,0,0,1.4063804580364376
clock_k16,0.3,tail_b0.5_mu1.0_c1.0,1000,val,64,5208000,500,8b42583cd8bbd501,16,0.64,False,False,posterior_mean_shrunk,0.001729286551475525,0.00010164623495287048,0.9982689863443375,0.00045669329166412356,0.0012725932598114014,0.999998272895813,64.0,0.062124248496993974,1.0,936.0,0.001729286551475525,0.001729286551475525,0.001729286551475525,0.01510189764201641,0.001729286551475525,31500,31500,467500,0,468000,0,0.8526935409754515
clock_k16,0.4,tail_b0.5_mu1.0_c1.0,1000,val,64,5208000,500,8b42583cd8bbd501,16,0.64,False,False,posterior_mean_shrunk,0.001729286551475525,0.00010164623495287048,0.9982689863443375,0.00045669329166412356,0.0012725932598114014,0.999998272895813,64.0,0.062124248496993974,1.0,936.0,0.001729286551475525,0.001729286551475525,0.001729286551475525,0.01510189764201641,0.001729286551475525,31500,31500,467500,0,468000,0,0.8576227909652516
clock_k16,0.5,tail_b0.5_mu1.0_c1.0,1000,val,64,5208000,500,8b42583cd8bbd501,16,0.64,False,False,posterior_mean_shrunk,0.001729286551475525,0.00010164623495287048,0.9982689863443375,0.00045669329166412356,0.0012725932598114014,0.999998272895813,64.0,0.062124248496993974,1.0,866.0,0.001729286551475525,0.001729286551475525,0.001729286551475525,0.01510189764201641,0.001729286551475525,31500,29000,467500,0,433000,0,0.842084874981083
clock_k16,0.6,tail_b0.5_mu1.0_c1.0,1000,val,64,5208000,500,8b42583cd8bbd501,16,0.64,False,False,posterior_mean_shrunk,0.001729286551475525,0.00010164623495287048,0.9982689863443375,0.00045669329166412356,0.0012725932598114014,0.999998272895813,64.0,0.062124248496993974,1.0,354.0,0.001729286551475525,0.001729286551475525,0.001729286551475525,0.01510189764201641,0.001729286551475525,31500,13000,467500,0,177000,0,0.8722656250465661
clock_k16,0.7,tail_b0.5_mu1.0_c1.0,1000,val,64,5208000,500,8b42583cd8bbd501,16,0.64,False,False,posterior_mean_shrunk,0.002976135969161987,0.00022816427394274966,0.997022136926651,0.001686903715133667,0.0012892322540283203,0.999998272895813,34.0,0.032064128256513016,0.0,0.0,0.002976135969161987,0.002976135969161987,0.002976135969161987,0.0077765358090400695,0.002976135969161987,31500,1000,467500,0,0,0,0.9151827089954168
all71_k16,0.3,tail_b2.0_mu1.0_c1.0,1000,val,64,5373000,500,a5157cd4b30e023e,16,0.64,True,False,posterior_mean_shrunk,0.09056712126731872,0.002917999254600722,0.8821361887454987,0.08585728931427002,0.004709831953048706,0.9727033100128174,64.0,0.062124248496993974,1.0,936.0,0.09056712126731872,0.09056712126731872,0.09056712126731872,0.09056712126731872,0.09056712126731872,31500,31500,467500,0,468000,0,2.3216026660520583
all71_k16,0.4,tail_b2.0_mu1.0_c1.0,1000,val,64,5373000,500,a5157cd4b30e023e,16,0.64,True,False,posterior_mean_shrunk,0.09056712126731872,0.002917999254600722,0.8821361887454987,0.08585728931427002,0.004709831953048706,0.9727033100128174,64.0,0.062124248496993974,1.0,926.012,0.09056712126731872,0.09056712126731872,0.09056712126731872,0.09056712126731872,0.09056712126731872,31500,31121,467500,0,463006,0,1.83388599997852
all71_k16,0.5,tail_b2.0_mu1.0_c1.0,1000,val,64,5373000,500,a5157cd4b30e023e,16,0.64,True,False,posterior_mean_shrunk,0.09056712126731872,0.002917999254600722,0.8821361887454987,0.08585728931427002,0.004709831953048706,0.9727033100128174,64.0,0.062124248496993974,1.0,806.44,0.09056712126731872,0.09056712126731872,0.09056712126731872,0.09056712126731872,0.09056712126731872,31500,27215,467500,0,403220,0,1.786514750099741
all71_k16,0.6,tail_b2.0_mu1.0_c1.0,1000,val,64,5373000,500,a5157cd4b30e023e,16,0.64,True,False,posterior_mean_shrunk,0.09056712126731872,0.002917999254600722,0.8821361887454987,0.08585728931427002,0.004709831953048706,0.9727033100128174,64.0,0.062124248496993974,1.0,574.464,0.09056712126731872,0.09056712126731872,0.09056712126731872,0.09056712126731872,0.09056712126731872,31500,19917,467500,0,287232,0,1.818574249977246
all71_k16,0.7,tail_b2.0_mu1.0_c1.0,1000,val,64,5373000,500,a5157cd4b30e023e,16,0.64,True,False,posterior_mean_shrunk,0.0907477456331253,0.0029164114725580468,0.881955564379692,0.08596714961528779,0.004780596017837525,0.9727033100128174,63.776,0.06189979959919839,0.984,229.332,0.0907477456331253,0.0907477456331253,0.0907477456331253,0.0907477456331253,0.0907477456331253,31500,9099,467500,0,114666,0,1.863032208988443
clock_k16,0.3,tail_b2.0_mu1.0_c1.0,1000,val,64,5373000,500,8b42583cd8bbd501,16,0.64,False,False,posterior_mean_shrunk,0.09056712126731872,0.002917999254600722,0.8821361887454987,0.08585728931427002,0.004709831953048706,0.9727033100128174,64.0,0.062124248496993974,1.0,936.0,0.09056712126731872,0.09056712126731872,0.09056712126731872,0.09056712126731872,0.09056712126731872,31500,31500,467500,0,468000,0,0.8891997499158606
clock_k16,0.4,tail_b2.0_mu1.0_c1.0,1000,val,64,5373000,500,8b42583cd8bbd501,16,0.64,False,False,posterior_mean_shrunk,0.09056712126731872,0.002917999254600722,0.8821361887454987,0.08585728931427002,0.004709831953048706,0.9727033100128174,64.0,0.062124248496993974,1.0,936.0,0.09056712126731872,0.09056712126731872,0.09056712126731872,0.09056712126731872,0.09056712126731872,31500,31500,467500,0,468000,0,0.8825015829643235
