policy,replicate,budget,timestep,best_arm_pull_share
spruce,0,160,79,0.0759493670886076
spruce,0,160,80,0.075
spruce,0,160,81,0.07407407407407407
spruce,0,160,82,0.07317073170731707
spruce,0,160,83,0.07228915662650602
spruce,0,160,84,0.07142857142857142
spruce,0,160,85,0.07058823529411765
spruce,0,160,86,0.06976744186046512
spruce,0,160,87,0.06896551724137931
spruce,0,160,88,0.06818181818181818
spruce,0,160,89,0.06741573033707865
spruce,0,160,90,0.06666666666666667
spruce,0,160,91,0.06593406593406594
spruce,0,160,92,0.06521739130434782
spruce,0,160,93,0.06451612903225806
spruce,0,160,94,0.06382978723404255
spruce,0,160,95,0.06315789473684211
spruce,0,160,96,0.0625
spruce,0,160,97,0.07216494845360824
spruce,0,160,98,0.07142857142857142
spruce,0,160,99,0.0707070707070707
spruce,0,160,100,0.07
spruce,0,160,101,0.06930693069306931
spruce,0,160,102,0.06862745098039216
spruce,0,160,103,0.06796116504854369
spruce,0,160,104,0.0673076923076923
spruce,0,160,105,0.06666666666666667
spruce,0,160,106,0.0660377358490566
spruce,0,160,107,0.06542056074766354
spruce,0,160,108,0.06481481481481481
spruce,0,160,109,0.06422018348623854
spruce,0,160,110,0.06363636363636363
spruce,0,160,111,0.06306306306306306
spruce,0,160,112,0.0625
spruce,0,160,113,0.061946902654867256
spruce,0,160,114,0.06140350877192982
spruce,0,160,115,0.06086956521739131
spruce,0,160,116,0.0603448275862069
spruce,0,160,117,0.05982905982905983
spruce,0,160,118,0.059322033898305086
spruce,0,160,119,0.058823529411764705
spruce,0,160,120,0.058333333333333334
spruce,0,160,121,0.05785123966942149
spruce,0,160,122,0.05737704918032787
spruce,0,160,123,0.056910569105691054
spruce,0,160,124,0.056451612903225805
spruce,0,160,125,0.056
spruce,0,160,126,0.05555555555555555
spruce,0,160,127,0.05511811023622047
spruce,0,160,128,0.0546875
spruce,0,160,129,0.05426356589147287
spruce,0,160,130,0.05384615384615385
spruce,0,160,131,0.061068702290076333
spruce,0,160,132,0.06060606060606061
spruce,0,160,133,0.06015037593984962
spruce,0,160,134,0.05970149253731343
spruce,0,160,135,0.05925925925925926
spruce,0,160,136,0.058823529411764705
spruce,0,160,137,0.058394160583941604
spruce,0,160,138,0.057971014492753624
spruce,0,160,139,0.05755395683453238
spruce,0,160,140,0.05714285714285714
spruce,0,160,141,0.05673758865248227
spruce,0,160,142,0.056338028169014086
spruce,0,160,143,0.055944055944055944
