policy,replicate,budget,timestep,entropy,normalized_entropy
uniform,1,160,37,2.884895182778212,0.9981052350435575
uniform,1,160,38,2.8804181726230462,0.9965562958308299
uniform,1,160,39,2.876845594467817,0.9953202686154833
uniform,1,160,40,2.8740927411215416,0.9943678467207028
uniform,1,160,41,2.8720839929340585,0.993672867543026
uniform,1,160,42,2.8707516771056385,0.9932119179005516
uniform,1,160,43,2.870035091638932,0.9929639963434894
uniform,1,160,44,2.869879667117499,0.9929102231494328
uniform,1,160,45,2.8702362443454756,0.9930335904038361
uniform,1,160,46,2.8710604497716514,0.9933187459115745
uniform,1,160,47,2.872312153755019,0.9937518057696872
uniform,1,160,48,2.873954999266822,0.9943201913094765
uniform,1,160,49,2.875955990689081,0.9950124868305603
uniform,1,160,50,2.8782851340573425,0.9958183151334071
uniform,1,160,51,2.8809151214807063,0.9967282283361565
uniform,1,160,52,2.8838210536139455,0.9977336118565637
uniform,1,160,53,2.886980195001301,0.9988265997667608
uniform,1,160,54,2.8903717578961645,1.0
uniform,1,160,55,2.8877985640224133,0.9991097360169253
uniform,1,160,56,2.8856419631453565,0.9983636033192316
uniform,1,160,57,2.8838743323344866,0.9977520450288349
uniform,1,160,58,2.882470150167473,0.9972662313395829
uniform,1,160,59,2.8814058086437857,0.9968979944438341
uniform,1,160,60,2.8806594445732787,0.9966397701969123
uniform,1,160,61,2.880210788150286,0.9964845457273377
uniform,1,160,62,2.8800410267244496,0.9964258123047692
uniform,1,160,63,2.8801326820366913,0.9964575228665651
uniform,1,160,64,2.880469499409199,0.9965740536801491
uniform,1,160,65,2.88103634756786,0.9967701696839512
uniform,1,160,66,2.8818191279388388,0.9970409931061771
uniform,1,160,67,2.882804692402071,0.9973819750094702
uniform,1,160,68,2.8839807686065306,0.997788869451767
uniform,1,160,69,2.8853358920580363,0.9982577099902907
uniform,1,160,70,2.8868593442824784,0.9987847882874961
uniform,1,160,71,2.888541096447556,0.9993666346055288
uniform,1,160,72,2.8903717578961645,1.0
uniform,1,160,73,2.8888812751439654,0.9994843283573723
uniform,1,160,74,2.8876161981228994,0.9990466417457418
uniform,1,160,75,2.886565042153578,0.9986829667387294
uniform,1,160,76,2.885716991978491,0.998389561514031
uniform,1,160,77,2.885061855761647,0.9981628999383864
uniform,1,160,78,2.8845900227565435,0.9979996569217001
uniform,1,160,79,2.88429242430919,0.9978966949250155
uniform,1,160,80,2.884160497896886,0.9978510515187847
uniform,1,160,81,2.884186153933543,0.9978599278982978
uniform,1,160,82,2.884361745099113,0.9979206782723942
uniform,1,160,83,2.8846800379745203,0.9980308000498223
uniform,1,160,84,2.885134186784702,0.9981879247549543
uniform,1,160,85,2.8857177090713244,0.998389809611125
uniform,1,160,86,2.8864244631336784,0.9986343297357156
uniform,1,160,87,2.8872486270914086,0.9989194708963566
uniform,1,160,88,2.888184679436307,0.999243322782309
uniform,1,160,89,2.889227380952611,0.9996040727493176
uniform,1,160,90,2.8903717578961645,1.0
uniform,1,160,91,2.8894003925358955,0.9996639306491923
uniform,1,160,92,2.8885695919896417,0.9993764933864997
uniform,1,160,93,2.8878735374687126,0.999135675049195
uniform,1,160,94,2.8873066851225535,0.9989395575966179
uniform,1,160,95,2.8868637507051917,0.9987863128051299
uniform,1,160,96,2.886539695236003,0.998674197307079
uniform,1,160,97,2.886329711581178,0.9986015479483066
uniform,1,160,98,2.886229211888412,0.998566777440848
uniform,1,160,99,2.886233815812878,0.9985683702893988
