policy,replicate,budget,timestep,entropy,normalized_entropy
spruce_fast,0,160,7,1.9459101490553132,0.7586544129592989
spruce_fast,0,160,8,2.0794415416798357,0.8107144632819592
spruce_fast,0,160,9,2.1972245773362196,0.8566346820627895
spruce_fast,0,160,10,2.3025850929940455,0.897711717502623
spruce_fast,0,160,11,2.3978952727983707,0.9348704159880586
spruce_fast,0,160,12,2.4849066497880004,0.9687936498860342
spruce_fast,0,160,13,2.564949357461537,1.0000000000000002
spruce_fast,0,160,14,2.5400363038209806,0.9902871167541444
spruce_fast,0,160,15,2.5232109529528914,0.9837273962594129
spruce_fast,0,160,16,2.5126585295298014,0.9796133097990339
spruce_fast,0,160,17,2.5070264355574183,0.9774175183086488
spruce_fast,0,160,18,2.5052899909184174,0.9767405284749315
spruce_fast,0,160,19,2.5066618124970015,0.9772753622620367
spruce_fast,0,160,20,2.510529247162029,0.978783163830819
spruce_fast,0,160,21,2.516410300153941,0.9810760172841644
spruce_fast,0,160,22,2.523922032900179,0.984004625883935
spruce_fast,0,160,23,2.532757537181371,0.9874493349404664
spruce_fast,0,160,24,2.5426689148346626,0.9913134960883109
spruce_fast,0,160,25,2.5534545315306536,0.9955184979003799
spruce_fast,0,160,26,2.564949357461537,1.0000000000000002
spruce_fast,0,160,27,2.5576380067656985,0.9971495145997448
spruce_fast,0,160,28,2.5400363038209806,0.9902871167541444
spruce_fast,0,160,29,2.536597475407071,0.988946416438208
spruce_fast,0,160,30,2.534537555405918,0.9881433128622404
spruce_fast,0,160,31,2.5336860014989666,0.9878113164801388
spruce_fast,0,160,32,2.5338959091292264,0.9878931534293358
spruce_fast,0,160,33,2.5350402189713153,0.9883392869324243
spruce_fast,0,160,34,2.537008618521312,0.9891067093161336
spruce_fast,0,160,35,2.5397049954291475,0.9901579491388582
spruce_fast,0,160,36,2.543045332428506,0.991460250484357
spruce_fast,0,160,37,2.546955957998868,0.9929848909451856
spruce_fast,0,160,38,2.5513720853378956,0.9947066120100405
spruce_fast,0,160,39,2.5562365863438243,0.9966031410747481
spruce_fast,0,160,40,2.546687217880486,0.9928801169005831
spruce_fast,0,160,41,2.533302391032702,0.9876617577899648
spruce_fast,0,160,42,2.5171488818415897,0.9813639690464477
spruce_fast,0,160,43,2.4989668082376046,0.9742753013692117
spruce_fast,0,160,44,2.4792914274820457,0.9666044361732489
spruce_fast,0,160,45,2.458521360501254,0.9585067842954951
spruce_fast,0,160,46,2.4369599206641044,0.950100598896775
spruce_fast,0,160,47,2.414841650973388,0.9414773215496518
spruce_fast,0,160,48,2.3923501456127347,0.9327085303471181
