test,horizon,cap,reference_cap,policy,delta,lo,hi,se,win,n_cells,n_episodes,n_envs,cluster_lo,cluster_hi,cluster_se,cluster_p,cluster_p_sign,cluster_boot_t_lo,cluster_boot_t_hi,cluster_pct_lo,cluster_pct_hi,cluster_min_env,cluster_max_env,cluster_degenerate,cluster_method
capp,1000,1000,64,fixed_K_star,-0.01927877246029675,-0.020684688874986024,-0.017926494413067123,0.0006988085111175415,0.560125,8,16000,8,-0.04765301273475567,0.009095467814162168,0.011999471059871925,0.15216964492932603,0.1171875,-0.0944153184954695,0.000670076260390097,-0.04373308602722827,-0.0005437482081353745,,,False,env_mean_t
capp,1000,32,64,level_star,0.028415711213368923,0.02735812725649448,0.02948997784164967,0.0005421424693395717,0.38349999999999995,8,16000,8,0.007178066794209088,0.04965335563252876,0.008981403453362367,0.015843291983945348,0.0078125,0.009577163994740397,0.05333679917349787,0.013120071185752749,0.045430410503409804,,,False,env_mean_t
capp,1000,48,64,level_star,0.010873250707518309,0.010142087838903534,0.011591555449261794,0.0003729069770706609,0.45128125,8,16000,8,0.0022212605614387836,0.019525240853597834,0.0036589281109891533,0.020757531765027985,0.0078125,0.0033813163877766802,0.022478895010521086,0.004596866376232356,0.01786273810593411,,,False,env_mean_t
capp,1000,96,64,level_star,-0.01114574385341257,-0.012006251809117385,-0.010294669471355156,0.0004374139824018291,0.5419687500000001,8,16000,8,-0.02164058685856777,-0.00065090084825737,0.004438270899947843,0.04032132824737624,0.03125,-0.02637728914587424,-0.002209608866812214,-0.01978728473931551,-0.003474493446690037,,,False,env_mean_t
capp,1000,128,64,level_star,-0.016477345990017055,-0.017498125276132485,-0.015457853910396805,0.0005200913752768191,0.56134375,8,16000,8,-0.03313769154892741,0.00018299956889329672,0.00704566298332098,0.051948032226925164,0.03125,-0.04156468380036446,-0.0036587759561642376,-0.030558220999315377,-0.004662143375421876,,,False,env_mean_t
capp,1000,192,64,level_star,-0.019519930216483773,-0.020764058222225865,-0.018288743188919036,0.0006367504325815176,0.5680000000000001,8,16000,8,-0.04316541800667939,0.004125557573711844,0.009999680826358897,0.0918889281585027,0.09375,-0.059962590120376025,-0.001845927155271706,-0.03926038768526633,-0.003322645428217948,,,False,env_mean_t
capp,1000,256,64,level_star,-0.021409076443873343,-0.02268964595142752,-0.02014966634829762,0.0006472845301857534,0.5759062500000001,8,16000,8,-0.044786721526183376,0.001968568638436693,0.00988641009943255,0.06706056806766075,0.0625,-0.05925665271091292,-0.004013008764343615,-0.041037142299115655,-0.005446918777842075,,,False,env_mean_t
capp,1000,384,64,level_star,-0.021409076443873343,-0.022659638500318397,-0.020112317669834012,0.0006525350665986393,0.5759062500000001,8,16000,8,-0.044786721526183376,0.001968568638436693,0.00988641009943255,0.06706056806766075,0.0625,-0.05993822887472404,-0.0041160079431527,-0.04103714229911566,-0.005118490815907727,,,False,env_mean_t
capp,1000,512,64,level_star,-0.021409076443873343,-0.022660912238282618,-0.020146458890591745,0.0006395672104533246,0.5759062500000001,8,16000,8,-0.044786721526183376,0.001968568638436693,0.00988641009943255,0.06706056806766075,0.0625,-0.059382564456582174,-0.004116190466611394,-0.04140372319705784,-0.005427822806593032,,,False,env_mean_t
capp,1000,1000,64,level_star,-0.021409076443873343,-0.022662314276990943,-0.02013815123124514,0.0006386190790771526,0.5759062500000001,8,16000,8,-0.044786721526183376,0.001968568638436693,0.00988641009943255,0.06706056806766075,0.0625,-0.05892631652195049,-0.003982838830444577,-0.04121318146015982,-0.0057912694147788,,,False,env_mean_t
capp,1000,32,64,p3_star,0.028416763153392824,0.027366692448279356,0.029466550000791902,0.0005404484251666055,0.38334375,8,16000,8,0.007180772143404124,0.049652754163381524,0.008980704226341406,0.015835267534735825,0.0078125,0.009442366550408428,0.054943542378507404,0.012861971988808363,0.04575993664060952,,,False,env_mean_t
capp,1000,48,64,p3_star,0.010878436147700996,0.010136330811993685,0.011616515047627035,0.000378572667661928,0.45028125,8,16000,8,0.0022329913432089944,0.019523880952193,0.0036561600849135028,0.020649864434106272,0.0078125,0.0032245665237431893,0.022347656201714642,0.004570460482966155,0.017725184366933527,,,False,env_mean_t
capp,1000,96,64,p3_star,-0.011196006513200699,-0.012043268775893375,-0.010335848204512148,0.00043507363875052254,0.5436875000000001,8,16000,8,-0.021681377199136365,-0.0007106358272650319,0.004434265054531535,0.03952733178675116,0.03125,-0.026054264575735727,-0.0023502273891263005,-0.01977207042528316,-0.003623223425098697,,,False,env_mean_t
