policy,reference,level,test,family,horizon,cell,env_id,cap,source_test,delta,lo,hi,se,win,n_cells,n_episodes,n_envs,cluster_lo,cluster_hi,cluster_se,cluster_p,cluster_p_sign,cluster_boot_t_lo,cluster_boot_t_hi,cluster_pct_lo,cluster_pct_hi,cluster_min_env,cluster_max_env,cluster_degenerate,cluster_method,regret,regret_ref,k_final,k_final_deployed,k_final_ref,search_frac,search_frac_ref
phi_k1,always_search,horizon,C,all,200,,all,matched,,0.0,0.0,0.0,0.0,0.5,3,6000,3,,,,,,,,,,0.0,0.0,True,range,0.07378852460781733,0.07378852460781733,64.0,64.0,64.0,0.31313131313131315,0.31313131313131315
phi_k1,uniform,cell,A,A,100,beta_good_common_T100_cap29,beta_good_common,29,capmatch,-0.00040298038721084595,-0.0019947831660509113,0.0011552639961242672,0.0008034979955406423,0.507,1,2000,1,,,,,,,,,,,,False,none,0.07298430526256561,0.07338728564977647,28.336,28.9545,29.0,0.268734693877551,0.2755102040816326
phi_k1,uniform,cell,A,A,200,beta_good_common_T200_cap64,beta_good_common,64,A,-0.0010097857117652893,-0.0021527815736830233,8.968363404273975e-05,0.0005726933952694093,0.50525,1,2000,1,,,,,,,,,,,,False,none,0.0591398506462574,0.06014963635802269,63.8885,63.8885,64.0,0.3125681818181818,0.31313131313131315
phi_k1,uniform,cell,A,A,50,beta_good_common_T50_cap15,beta_good_common,15,capmatch,-0.0018591451793909073,-0.00391355009637773,0.0001940551497042175,0.0010314247441093201,0.50925,1,2000,1,,,,,,,,,,,,False,none,0.09127149510383606,0.09313064028322697,14.619,15.1715,14.998,0.2628958333333334,0.27079166666666676
phi_k1,uniform,cell,A,A,100,beta_mostly_mediocre_T100_cap43,beta_mostly_mediocre,43,capmatch,-0.008877768009901046,-0.011996374365314841,-0.005765408233925703,0.0016098543542632227,0.52425,1,2000,1,,,,,,,,,,,,False,none,0.1403522597402334,0.14923002775013447,40.63,42.6455,42.905,0.3941836734693877,0.41739795918367345
phi_k1,uniform,cell,A,A,200,beta_mostly_mediocre_T200_cap64,beta_mostly_mediocre,64,A,-0.0004422994554042816,-0.0016780928384512663,0.0008273504137992853,0.0006454523256260738,0.50125,1,2000,1,,,,,,,,,,,,False,none,0.13266175171732902,0.1331040511727333,64.0,64.0,64.0,0.31313131313131315,0.31313131313131315
phi_k1,uniform,cell,A,A,50,beta_mostly_mediocre_T50_cap21,beta_mostly_mediocre,21,capmatch,-0.007027511022984981,-0.010471703364886342,-0.0036737543081864716,0.0017481538461739117,0.51575,1,2000,1,,,,,,,,,,,,False,none,0.1424879562854767,0.14951546730846166,19.946,20.8505,20.889,0.373875,0.39352083333333326
phi_k1,uniform,cell,A,A,100,beta_rare_excellent_T100_cap64,beta_rare_excellent,64,A,-0.009745407845824956,-0.014060975904297082,-0.0055146796328946965,0.002195704129616972,0.5245,1,2000,1,,,,,,,,,,,,False,none,0.17039122610958293,0.18013663395540788,64.0,64.0,50.907,0.6326530612244898,0.49905102040816324
phi_k1,uniform,cell,A,A,200,beta_rare_excellent_T200_cap64,beta_rare_excellent,64,A,0.00010102061554789543,-0.0004083947408944367,0.0005945564107038079,0.00025357489782236133,0.4995,1,2000,1,,,,,,,,,,,,False,none,0.17293234672769905,0.17283132611215116,64.0,64.0,64.0,0.31313131313131315,0.31313131313131315
phi_k1,uniform,cell,A,A,50,beta_rare_excellent_T50_cap34,beta_rare_excellent,34,capmatch,-0.004219278130069142,-0.008354939998629561,-4.629723237813317e-05,0.0021075956940068254,0.5097499999999999,1,2000,1,,,,,,,,,,,,False,none,0.1664324649693299,0.17065174309939904,32.649,34.4815,26.072,0.6385208333333332,0.5015
phi_k1,uniform,cell,A,A,100,beta_skewed_T100_cap63,beta_skewed,63,capmatch,-0.025380069667473436,-0.03193677852773107,-0.019037222556676718,0.003212320777308837,0.5375,1,2000,1,,,,,,,,,,,,False,none,0.16776238939352334,0.19314245906099678,62.5905,63.4975,51.076,0.6182704081632653,0.5007755102040817
phi_k1,uniform,cell,A,A,200,beta_skewed_T200_cap64,beta_skewed,64,A,-0.001034836009144783,-0.0019584538012742993,-0.0002073574159294368,0.0004453509788213075,0.502,1,2000,1,,,,,,,,,,,,False,none,0.15335274867713453,0.1543875846862793,64.0,64.0,64.0,0.31313131313131315,0.31313131313131315
phi_k1,uniform,cell,A,A,50,beta_skewed_T50_cap32,beta_skewed,32,capmatch,-0.030165194406872615,-0.03682088558683754,-0.02357532997124363,0.00338715454247182,0.5435,1,2000,1,,,,,,,,,,,,False,none,0.17878372541675344,0.20894891982362607,30.3545,32.0275,25.943,0.59071875,0.4988125
