env_id,family,horizon,rule,K,regret,regret_se,k_final,alpha,c,b,beta,is_mixture
tail_b0.5_mu0.9_c2.0,tail,200,p3_star,,0.024885260343551634,0.0010499809591460315,76.0,0.3333333333333333,12.9269291522,,0.5,False
tail_b0.5_mu0.9_c1.0,tail,1000,oracle_beta_c0.5,5.0,0.047891653656959535,0.00245003160550062,5.0,,,,0.5,False
tail_b0.5_mu0.9_c1.0,tail,1000,oracle_beta_c0.75,7.0,0.028828743547201156,0.001481245203418551,7.0,,,,0.5,False
tail_b0.5_mu0.9_c2.0,tail,200,oracle_beta_c2.0,12.0,0.0181086807847023,0.0007874385189594984,12.0,,,,0.5,False
tail_b0.5_mu0.9_c2.0,tail,200,oracle_beta_c3.0,18.0,0.018696325719356536,0.0007723289911699049,18.0,,,,0.5,False
tail_b0.5_mu0.8_c2.0,tail,1000,ceiling,32.0,0.011706543862819671,0.0004791174513215698,32.0,,,,0.5,False
tail_b0.5_mu0.8_c2.0,tail,1000,pooled_K,192.0,0.01782443976402283,0.0008026307169378259,192.0,,,,0.5,False
tail_b0.5_mu0.9_c1.0,tail,1000,oracle_beta_c1.0,10.0,0.018914678931236266,0.0009584799875295877,10.0,,,,0.5,False
tail_b0.5_mu0.9_c1.0,tail,1000,oracle_beta_c1.5,15.0,0.01204785454273224,0.0005079223206213384,15.0,,,,0.5,False
beta_skewed,beta,1000,oracle_beta_c2.0,356.0,0.09344971576333046,0.0030188153086665513,356.0,,,,3.0,False
beta_skewed,beta,1000,oracle_beta_c3.0,533.0,0.08418490734696388,0.0030447424889060823,533.0,,,,3.0,False
tail_b0.5_mu0.9_c1.0,tail,1000,oracle_beta_c2.0,20.0,0.010069579720497131,0.0004435730811168264,20.0,,,,0.5,False
tail_b0.5_mu0.9_c1.0,tail,1000,oracle_beta_c3.0,30.0,0.009614702582359315,0.00038044261235012995,30.0,,,,0.5,False
tail_b0.5_mu1.0_c1.0,tail,200,ceiling,24.0,0.009517088294029237,0.0004159047603935424,24.0,,,,0.5,False
tail_b0.5_mu1.0_c1.0,tail,200,pooled_K,48.0,0.010027370691299439,0.0004699026546465708,48.0,,,,0.5,False
tail_b0.5_mu1.0_c1.0,tail,200,oracle_beta_c0.5,3.0,0.1087181127667427,0.004678100263318138,3.0,,,,0.5,False
tail_b0.5_mu1.0_c1.0,tail,200,oracle_beta_c0.75,4.0,0.07250629223883152,0.003345183096381117,4.0,,,,0.5,False
tail_b0.5_mu0.8_c1.0,tail,1000,level_star,,0.015529202103614807,0.0006872614197586498,137.144,0.5,4.0,2.0,0.5,False
tail_b0.5_mu0.8_c1.0,tail,1000,p3_star,,0.016672632098197936,0.0006943922478343097,240.0,0.5,7.5846201147,,0.5,False
tail_b0.5_mu1.0_c1.0,tail,200,oracle_beta_c1.0,6.0,0.04256638824939728,0.0020778986263983836,6.0,,,,0.5,False
tail_b0.5_mu1.0_c1.0,tail,200,oracle_beta_c1.5,9.0,0.02343171101808548,0.0012210483756884276,9.0,,,,0.5,False
tail_b0.5_mu1.0_c1.0,tail,200,level_star,,0.010643910706043244,0.00048748862495706733,38.701,0.5,3.0,2.0,0.5,False
tail_b0.5_mu1.0_c1.0,tail,200,p3_star,,0.012218691170215608,0.0005766932132555734,76.0,0.3333333333333333,12.9269291522,,0.5,False
tail_b0.5_mu0.9_c2.0,tail,1000,oracle_beta_c0.5,5.0,0.01534763342142105,0.0006646053141091676,5.0,,,,0.5,False
tail_b0.5_mu0.9_c2.0,tail,1000,oracle_beta_c0.75,7.0,0.011593717515468598,0.0005438796415836995,7.0,,,,0.5,False
tail_b0.5_mu1.0_c1.0,tail,200,oracle_beta_c2.0,12.0,0.015055065274238586,0.0007740150362849691,12.0,,,,0.5,False
tail_b0.5_mu1.0_c1.0,tail,200,oracle_beta_c3.0,18.0,0.010280680418014526,0.00048559483576264247,18.0,,,,0.5,False
tail_b0.5_mu0.9_c2.0,tail,1000,oracle_beta_c1.0,10.0,0.009196744441986085,0.0004039120663270166,10.0,,,,0.5,False
tail_b0.5_mu0.9_c2.0,tail,1000,oracle_beta_c1.5,15.0,0.00833782595396042,0.0003310247239244519,15.0,,,,0.5,False
tail_b0.5_mu0.8_c2.0,tail,1000,level_star,,0.01474431812763214,0.0006156057177109382,114.203,0.5,4.0,2.0,0.5,False
tail_b0.5_mu0.8_c2.0,tail,1000,p3_star,,0.018504594564437867,0.0007937853461009545,240.0,0.5,7.5846201147,,0.5,False
tail_b0.5_mu0.9_c1.0,tail,1000,ceiling,96.0,0.009923424243927002,0.0003977493444704038,96.0,,,,0.5,False
tail_b0.5_mu0.9_c1.0,tail,1000,pooled_K,192.0,0.011643526077270507,0.0004943800941061389,192.0,,,,0.5,False
tail_b0.5_mu0.9_c2.0,tail,1000,oracle_beta_c2.0,20.0,0.008035328388214111,0.00033844270367287154,20.0,,,,0.5,False
tail_b0.5_mu0.9_c2.0,tail,1000,oracle_beta_c3.0,30.0,0.008432491660118103,0.0003448208251687297,30.0,,,,0.5,False
tail_b0.5_mu1.0_c2.0,tail,200,ceiling,32.0,0.008964294016361236,0.0004219966769454872,32.0,,,,0.5,False
tail_b0.5_mu1.0_c2.0,tail,200,pooled_K,48.0,0.009444533348083496,0.0004205896360097501,48.0,,,,0.5,False
tail_b0.5_mu1.0_c2.0,tail,200,oracle_beta_c0.5,3.0,0.028823230147361757,0.001224890810768738,3.0,,,,0.5,False
tail_b0.5_mu1.0_c2.0,tail,200,oracle_beta_c0.75,4.0,0.020754454016685485,0.0009801436645289006,4.0,,,,0.5,False
tail_b0.5_mu1.0_c2.0,tail,200,oracle_beta_c1.0,6.0,0.012964132249355316,0.0006236381626520419,6.0,,,,0.5,False
tail_b0.5_mu1.0_c2.0,tail,200,oracle_beta_c1.5,9.0,0.009516448676586152,0.0004831474799719269,9.0,,,,0.5,False
tail_b0.5_mu0.9_c2.0,tail,1000,ceiling,12.0,0.008999092817306518,0.00038671319349671237,12.0,,,,0.5,False
