level,split,env_id,family,horizon,cap,base_seed,K,n_envs,n_episodes,regret,regret_se,regret_disc,regret_sel,k_final,search_frac,k_star,is_argmin
env,val,beta_mostly_mediocre,A,50,64,5031000,36,1,2000,0.164613455273211,0.0024539984297096322,0.01285594654083252,0.15175750873237848,36.0,0.7083333333333334,14,False
env,val,beta_mostly_mediocre,A,50,64,5031000,40,1,2000,0.17401319477707147,0.0025237622996278704,0.00852824577689171,0.16548494900017977,40.0,0.7916666666666665,14,False
env,val,beta_mostly_mediocre,A,50,64,5031000,48,1,2000,0.2112679859623313,0.0027282313322164386,0.00118802410364151,0.2100799618586898,48.0,0.9583333333333336,14,False
env,val,beta_mostly_mediocre,A,100,64,5034000,4,1,2000,0.18504922883212566,0.002306666063125565,0.16140501120686532,0.023644217625260353,4.0,0.02040816326530612,18,False
env,val,beta_mostly_mediocre,A,100,64,5034000,6,1,2000,0.16676259987056255,0.0022218243481040736,0.13266543471813202,0.03409716515243053,6.0,0.04081632653061224,18,False
env,val,beta_mostly_mediocre,A,100,64,5034000,8,1,2000,0.15616061379015445,0.0021680373630984183,0.11443029762804509,0.04173031616210938,8.0,0.06122448979591836,18,False
env,val,beta_mostly_mediocre,A,100,64,5034000,10,1,2000,0.1509766468256712,0.002177574232155327,0.10244167765974999,0.04853496916592121,10.0,0.08163265306122448,18,False
env,val,beta_mostly_mediocre,A,100,64,5034000,12,1,2000,0.14628684520721436,0.002181639145746408,0.09173638534545898,0.05455045986175537,12.0,0.10204081632653059,18,False
env,val,beta_mostly_mediocre,A,100,64,5034000,14,1,2000,0.1436732451468706,0.002167860910850749,0.0832455868422985,0.060427658304572106,14.0,0.12244897959183672,18,False
env,val,beta_mostly_mediocre,A,100,64,5034000,16,1,2000,0.1421574469804764,0.0021785601906118505,0.07597149097919464,0.06618595600128174,16.0,0.1428571428571428,18,False
env,val,beta_mostly_mediocre,A,100,64,5034000,18,1,2000,0.14106285691261292,0.0021752753114899553,0.07063094133138656,0.07043191558122634,18.0,0.16326530612244897,18,True
env,val,beta_mostly_mediocre,A,100,64,5034000,20,1,2000,0.14208821202814578,0.002154683907210794,0.0651259292960167,0.0769622827321291,20.0,0.1836734693877551,18,False
env,val,beta_mostly_mediocre,A,100,64,5034000,24,1,2000,0.1416905684173107,0.002159550758534603,0.05688554787635803,0.08480502054095268,24.0,0.22448979591836735,18,False
env,val,beta_mostly_mediocre,A,100,64,5034000,28,1,2000,0.14176109313964844,0.002176217751273723,0.04967792570590973,0.0920831674337387,28.0,0.2653061224489796,18,False
env,val,beta_mostly_mediocre,A,100,64,5034000,32,1,2000,0.1421469197422266,0.002174375979657443,0.0440650843679905,0.0980818353742361,32.0,0.3061224489795918,18,False
env,val,beta_mostly_mediocre,A,100,64,5034000,36,1,2000,0.14506738197803498,0.002211811293007866,0.03890876379609108,0.10615861818194389,36.0,0.34693877551020413,18,False
env,val,beta_mostly_mediocre,A,100,64,5034000,40,1,2000,0.14595852145552635,0.0022432080584168053,0.03425676921010017,0.11170175224542618,40.0,0.38775510204081615,18,False
env,val,beta_mostly_mediocre,A,100,64,5034000,48,1,2000,0.14985033009946347,0.002266300091609752,0.027013256311416625,0.12283707378804684,48.0,0.4693877551020407,18,False
