test,recommender,level,family,horizon,cell,env_id,cap,base_seed,hypothesis,pre_registered,label,policy,reference,status,delta,lo,hi,se,win,n_cells,n_episodes,n_envs,cluster_lo,cluster_hi,cluster_degenerate,evaluated,ref_tuned,params_tuned,n_cells_excluded_untuned
A,posterior_mean_shrunk,family_horizon,A,50,,,,,,False,exploratory,phi_k16_cs,phi_k16,ok,0.0,0.0,0.0,0.0,0.5,4,8000,4,0.0,0.0,False,True,True,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,,False,exploratory,phi_k16_famA_only,phi_k16,ok,-0.0012558274670918762,-0.0031150053298915734,0.0006355684228765312,0.0009630258852117655,0.5073125,4,8000,4,-0.0046296177765434545,0.0017783595345681534,False,True,True,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,,False,exploratory,phi_k16_famB_only,phi_k16,ok,0.00012940477579832078,-5.154985124136146e-05,0.00033264547764701993,9.844087358704978e-05,0.49975,4,8000,4,0.0,0.00029931871220469477,False,True,True,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,,False,exploratory,phi_k16_guard,phi_k16,ok,0.004219720347402472,0.0015098580708581722,0.006942187722461312,0.0013948164428516788,0.502625,4,8000,4,-0.003291165228572936,0.01666474548669794,False,True,True,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,,False,exploratory,phi_k16_hgb,phi_k16,ok,0.0020506701750200593,-2.3120556488720402e-05,0.0040835683823388525,0.0010495516037802273,0.498125,4,8000,4,-0.00011534968223713804,0.004216690032277256,False,True,True,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,,False,exploratory,phi_k16_lucb,phi_k16,ok,0.00014863668009638788,-0.00011144722018343593,0.00042489318229854673,0.00013630552292709426,0.49974999999999997,4,8000,4,-3.6687433719635005e-05,0.0004825974740087986,False,True,True,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,,False,exploratory,phi_k16_noT1000,phi_k16,ok,0.01870669428959809,0.016045904465499916,0.02132820033621101,0.0013388717437693987,0.46937500000000004,4,8000,4,0.004657999910414218,0.036452294232905844,False,True,True,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,,False,exploratory,phi_k16_noT200,phi_k16,ok,7.145122066140174e-05,-0.00011525209990850267,0.00027497745913933607,9.963925582571185e-05,0.5000625000000001,4,8000,4,-3.1917784363031387e-05,0.0002462714463472366,False,True,True,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,,False,exploratory,phi_k16_noambig,phi_k16,ok,0.007574715286456922,0.0053408280266921794,0.009749943570932373,0.0011126114750293322,0.4878125,4,8000,4,0.002153898135838972,0.013298602764145472,False,True,True,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,,False,exploratory,phi_k16_nopolicy,phi_k16,ok,0.0005967773562806544,-0.0015014871933090033,0.002726262959822634,0.0010871101609460662,0.506625,4,8000,4,-0.0032080764484999236,0.005914632676642214,False,True,True,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,,False,exploratory,phi_k16_notrunc,phi_k16,ok,-0.0009622798580567178,-0.0018941703921882434,-6.96016093570507e-05,0.00046562492674772325,0.5019375,4,8000,4,-0.0015524542098864912,-0.0003316925796680152,False,True,True,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,,False,exploratory,phi_k16_onpolicy_only,phi_k16,ok,-0.0036350575320138884,-0.005052917906323273,-0.0022278545075096194,0.0007188728319846286,0.5065,4,8000,4,-0.00912908430362586,0.0008783130645751953,False,True,True,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,,False,exploratory,phi_k16_onpolicy_union,phi_k16,ok,-0.00015452329171966993,-0.0015877001895205464,0.001246721801544481,0.000720669823471917,0.5029374999999999,4,8000,4,-0.0009061412926530464,0.00040917345236084657,False,True,True,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,,False,exploratory,phi_k16_perstep,phi_k16,ok,-0.00993675512457412,-0.01226438009980484,-0.007602186544681901,0.0011866689941286879,0.520625,4,8000,4,-0.020170883816084825,-0.0012417240738650435,False,True,True,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,,False,exploratory,phi_k16_quality,phi_k16,ok,-0.00015790606766313432,-0.0005658811203829827,0.00023952328301675145,0.00020505503388203473,0.500375,4,8000,4,-0.0007650381472085429,0.00022278491361066698,False,True,True,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,,False,exploratory,phi_k16_tau05,phi_k16,ok,0.0,0.0,0.0,0.0,0.5,4,8000,4,0.0,0.0,False,True,True,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,,False,exploratory,phi_k16_weighted,phi_k16,ok,0.004399336119349754,0.003213139227591455,0.005589801189489663,0.0006044901734345803,0.49131250000000004,4,8000,4,0.0012960736528038978,0.007305351815120958,False,True,True,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,,False,exploratory,phi_k4,phi_k16,ok,-0.00573320944889565,-0.007615254475967959,-0.0039053276914273742,0.0009466319974059414,0.5129999999999999,4,8000,4,-0.010119485925650224,-0.002371634528040886,False,True,True,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,,False,exploratory,phi_reservoir_rule,phi_k16,ok,0.006839164584613172,0.004842049448052422,0.008820117347931953,0.0010230666873323518,0.47687499999999994,4,8000,4,-0.008477165714430156,0.0221554948836565,False,True,True,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,,False,exploratory,phi_sf_k16,phi_k16,ok,0.0009271849039942027,0.00038158841325639523,0.0014785051949729676,0.00028115162274524756,0.4975,4,8000,4,0.0,0.002538667604327202,False,True,True,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,,False,exploratory,phi_sf_k16_noT1000,phi_k16,ok,0.0034518201791215687,0.002243230356907589,0.0047155530371128405,0.0006325053939750429,0.49475,4,8000,4,-0.00014058183878660203,0.009406064195092767,False,True,True,True,0
A,posterior_mean_shrunk,family_horizon,A,50,,,,,,False,exploratory,power_a0.25,phi_k16,ok,0.004359187333022419,0.0018259651013067927,0.006925576486992213,0.0013205628759112244,0.49793750000000003,4,8000,4,-0.0018986290312750496,0.01173371168138692,False,True,True,True,0
