test,horizon,cap,policy,reference,delta,lo,hi,se,win,n_cells,n_episodes,n_envs,cluster_lo,cluster_hi,cluster_se,cluster_p,cluster_p_sign,cluster_boot_t_lo,cluster_boot_t_hi,cluster_pct_lo,cluster_pct_hi,cluster_min_env,cluster_max_env,cluster_degenerate,cluster_method
capp,200,128,level_star,p3_star,-0.0017170430328696967,-0.0026600181305664592,-0.0007920330997731071,0.0004744249902567237,0.5075624999999999,8,16000,8,-0.005403131858042468,0.0019690457923030747,0.0015588475939421935,0.3071135684027394,0.265625,-0.00505009016231386,0.0020965369612649526,-0.004446625768579541,0.0011511193086800632,,,False,env_mean_t
capp,200,128,level_star,fixed_K_star,-0.0016850161015754565,-0.0025587623819301373,-0.0007907470962964004,0.00045515080194378425,0.5062187499999999,8,16000,8,-0.005154112198162317,0.001784079995011404,0.0014670813319495124,0.2884710147418779,0.28125,-0.004413117275969824,0.0032173161445059988,-0.004160858145332895,0.0011883736242307348,,,False,env_mean_t
capp,200,128,phi_k4,p3_star,-0.003342529628847842,-0.005022069532975366,-0.0017072968913398657,0.0008472254643393419,0.5120625000000001,8,16000,8,-0.011907344098857754,0.0052222848411620695,0.0036220615026851515,0.3868009555061351,0.375,-0.010361311777883617,0.009911877228174035,-0.009612524518743157,0.0034854767995224378,,,False,env_mean_t
capp,200,128,phi_k16,p3_star,-0.0005151209677133012,-0.0021647502072835775,0.0011548668375704432,0.0008530505544147393,0.50196875,8,16000,8,-0.008334558289090039,0.007304316353663437,0.0033068413791788077,0.8806079508219737,0.890625,-0.00821340815835242,0.007673038794714013,-0.006551810896911774,0.005486171272670617,,,False,env_mean_t
capp,200,128,phi_k16,always_search,-0.01224775101710111,-0.013292532103252597,-0.01117847008719109,0.0005388128029022305,0.5559687499999999,8,16000,8,-0.02203713821925689,-0.002458363814945328,0.004139933520330667,0.021151799204311535,0.0390625,-0.022709189031603065,-0.0020924403298165587,-0.020010892907809465,-0.004684205042710527,,,False,env_mean_t
capp,200,128,phi_k4,cp0,-0.043096944436198104,-0.04513315318402601,-0.041084115295691295,0.0010342233948166372,0.606125,8,16000,8,-0.0875670113948299,0.001373122522433698,0.0188063989146171,0.05567520012617935,0.0078125,-0.22993188661500144,-0.010992590894683157,-0.0813552921098948,-0.013062316249462315,,,False,env_mean_t
capp,200,128,p3_star,always_search,-0.011732630049387807,-0.013540689299230508,-0.009860075372931897,0.0009405116294172027,0.5519375,8,16000,8,-0.02258783023290766,-0.000877429865867951,0.004590666012246097,0.03778476498346134,0.0546875,-0.01954987815151059,0.003260864681144879,-0.01900050061759248,-0.0023108522724796785,,,False,env_mean_t
capp,200,160,phi_k4,level_star,-0.00014334907638840393,-0.001287283707555616,0.0009978132429008836,0.000582213206150455,0.502875,8,16000,8,-0.0029556356031636834,0.0026689374503868755,0.0011893164526587915,0.9074494802419862,0.859375,-0.002337502731012702,0.0026209452214332905,-0.002276471322274301,0.00218800833710702,,,False,env_mean_t
capp,200,160,level_star,p3_star,-0.005477494165766985,-0.00718781538994517,-0.0037508112117298894,0.0008751633087583847,0.5135000000000001,8,16000,8,-0.014040014897811695,0.0030850265662777255,0.003621091480507778,0.17412669834370606,0.1796875,-0.026658289241168996,0.0005361359859882954,-0.012791889609885402,0.00021840640902519228,,,False,env_mean_t
capp,200,160,level_star,fixed_K_star,-0.004128139050633763,-0.005785276691415856,-0.002445445793460749,0.0008588948159984498,0.50940625,8,16000,8,-0.01197729188439296,0.003721013783125434,0.003319408074442312,0.253664433484204,0.2734375,-0.01631755556495256,0.0019939215600035956,-0.010755578833821347,0.0013438515637335421,,,False,env_mean_t
capp,200,160,phi_k4,p3_star,-0.005620843242155388,-0.007364097983200917,-0.003912506240364747,0.0008788247993109249,0.516375,8,16000,8,-0.012120161729747388,0.000878475245436613,0.0027485628988259485,0.08011809092056603,0.0546875,-0.018266731082577443,-0.0007457208003751733,-0.010935220840387045,-0.0010743110682757114,,,False,env_mean_t
capp,200,160,phi_k16,p3_star,-0.0003092966610565782,-0.0019490444218245096,0.001347708199746557,0.0008478869025061054,0.5006875,8,16000,8,-0.004998938251029525,0.004380344928916369,0.0019832502296354515,0.8804711771827969,0.890625,-0.006200991490372988,0.0039897940084772845,-0.004227437809418188,0.003150491160340607,,,False,env_mean_t
capp,200,160,phi_k16,always_search,-0.02513808627403341,-0.026877433798645507,-0.023402609320735793,0.0008881613197338945,0.59296875,8,16000,8,-0.0450481036110102,-0.005228068937056622,0.008419949733479062,0.02035452614966187,0.046875,-0.04436214352071027,-0.0015147079959836156,-0.04027104771512094,-0.00960062520780777,,,False,env_mean_t
capp,200,160,phi_k4,cp0,-0.044057929865666666,-0.04610662250049354,-0.04203683315836533,0.0010495683096770523,0.6083125,8,16000,8,-0.08797408965078396,-0.00014177008054937906,0.018572151476301514,0.04944178088911817,0.0078125,-0.20479040785400737,-0.012125060406603057,-0.08092057568538291,-0.014374170397524724,,,False,env_mean_t
capp,200,160,p3_star,always_search,-0.024828789612976833,-0.026955648959908284,-0.02275332370265969,0.0010624749177821132,0.59103125,8,16000,8,-0.04445481791203064,-0.00520276131392303,0.008299850720821261,0.02018417709078461,0.0390625,-0.0439523750601123,-0.0033190964521759535,-0.039643465200235345,-0.009708842484498747,,,False,env_mean_t
capp,200,200,phi_k4,level_star,0.00028545308891625616,-0.0013972122528492024,0.001961172625033211,0.0008612079467217233,0.5015625,8,16000,8,-0.010916114881524254,0.011487021059356766,0.004737145008512562,0.9536340774205802,0.96875,-0.009234044362390599,0.014804683433874625,-0.007854519513458945,0.009153045126004145,,,False,env_mean_t
capp,200,200,level_star,p3_star,-0.0032060793181153714,-0.004377471509829045,-0.0020171928677405965,0.0006071632653243664,0.515875,8,16000,8,-0.008473020280430446,0.002060861644199703,0.0022273902328318433,0.1932178938299951,0.15625,-0.007248692060332572,0.0030892173808531606,-0.006849419330246747,0.0013062420265585327,,,False,env_mean_t
capp,200,200,level_star,fixed_K_star,-0.0016850161015754565,-0.002593504404759733,-0.0007781380363798234,0.00046210204101454884,0.5062187499999999,8,16000,8,-0.005154112198162317,0.001784079995011404,0.0014670813319495124,0.2884710147418779,0.28125,-0.004546392280860987,0.0032173161445059988,-0.004147894024406559,0.0011735619136597959,,,False,env_mean_t
capp,200,200,phi_k4,p3_star,-0.0029206262291991145,-0.004634421463191394,-0.0012411850901233269,0.0008630285164619276,0.5165625,8,16000,8,-0.014255232809645978,0.008413980351247751,0.004793407059414198,0.5615715909399527,0.5625,-0.01213937630536564,0.016626205867929626,-0.011243533504568038,0.006241989143483807,,,False,env_mean_t
capp,200,200,phi_k16,p3_star,0.000634960509836674,-0.0008247303100797574,0.0021464362112514203,0.0007530474889812935,0.5004062499999999,8,16000,8,-0.00723307363119119,0.008502994650864537,0.003327392982512146,0.854076809356347,0.921875,-0.004669100857734982,0.023016443649503296,-0.004359842835075685,0.0073923491532914345,,,False,env_mean_t
capp,200,200,phi_k16,always_search,-0.1945301084128987,-0.19753686972712772,-0.19163308226830153,0.0015044373191236136,0.8530625000000001,8,16000,8,-0.2571141109785702,-0.1319461058472272,0.02646678537764112,0.00015593517023566265,0.0078125,-0.327162413983734,-0.14805798919618984,-0.24518394358031215,-0.1511428055558281,,,False,env_mean_t
capp,200,200,phi_k4,cp0,-0.0411860047513037,-0.04326867373682035,-0.039185144844111355,0.0010501792840742735,0.6023125,8,16000,8,-0.08571097190672226,0.0033389624041148674,0.018829616217218043,0.06493716625436333,0.0078125,-0.31329680142382277,-0.007948854790521695,-0.07962181940306615,-0.01179414703590883,,,False,env_mean_t
capp,200,200,p3_star,always_search,-0.19516506892273536,-0.19811221511377006,-0.192343437563894,0.0014905650692494516,0.8489375,8,16000,8,-0.2623860327408368,-0.1279441051046339,0.0284277570835291,0.00023867015631521508,0.0078125,-0.3752198783503823,-0.14463424247195744,-0.25192425206173347,-0.14886426823495275,,,False,env_mean_t
capp,1000,32,phi_k4,level_star,0.0,0.0,0.0,0.0,0.5,8,16000,8,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,False,env_mean_t
capp,1000,32,level_star,p3_star,-1.7644949257373808e-06,-9.683074709028005e-06,5.522327963262795e-06,3.8035328010985196e-06,0.50009375,8,16000,8,-4.406470439531265e-06,8.774805880565032e-07,1.1172918961709369e-06,0.1582861977082104,0.25,-1.0584274129481058e-05,6.036959731776105e-08,-3.9875321090221404e-06,-1.983940601348877e-07,,,False,env_mean_t
capp,1000,32,level_star,fixed_K_star,0.0,0.0,0.0,0.0,0.5,8,16000,8,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,False,env_mean_t
capp,1000,32,phi_k4,p3_star,-1.7644949257373808e-06,-9.543194621801375e-06,5.597607232630248e-06,3.796095440544793e-06,0.50009375,8,16000,8,-4.406470439531265e-06,8.774805880565032e-07,1.1172918961709369e-06,0.1582861977082104,0.25,-1.0584274129481058e-05,6.036959731776105e-08,-3.9875321090221404e-06,-1.983940601348877e-07,,,False,env_mean_t
capp,1000,32,phi_k16,p3_star,-1.7644949257373808e-06,-9.474587999284267e-06,5.4539731703698625e-06,3.802495222243007e-06,0.50009375,8,16000,8,-4.406470439531265e-06,8.774805880565032e-07,1.1172918961709369e-06,0.1582861977082104,0.25,-1.0584274129481058e-05,6.036959731776105e-08,-3.9875321090221404e-06,-1.983940601348877e-07,,,False,env_mean_t
capp,1000,32,phi_k16,always_search,0.0,0.0,0.0,0.0,0.5,8,16000,8,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,False,env_mean_t
capp,1000,32,phi_k4,cp0,-0.002482341877184808,-0.0028111072961241003,-0.002163671463890933,0.000166580458092273,0.5192187500000001,8,16000,8,-0.003922718467736234,-0.0010419652866333823,0.0006091355062358024,0.0047182319241844805,0.0078125,-0.004212238422506127,-0.0011991593905791304,-0.003635831680428236,-0.0014223841318627823,,,False,env_mean_t
capp,1000,32,p3_star,always_search,1.7644949257373808e-06,-5.477122869342564e-06,9.831137116998433e-06,3.846403690739617e-06,0.49990625,8,16000,8,-8.774805880565032e-07,4.406470439531265e-06,1.1172918961709369e-06,0.1582861977082104,0.25,-1.8415865232281803e-08,1.0584274129481058e-05,0.0,3.9875321090221404e-06,,,False,env_mean_t
capp,1000,48,phi_k4,level_star,-6.07512891292572e-07,-1.816831342875957e-06,2.357434481382368e-07,5.317476218144818e-07,0.5000625,8,16000,8,-2.0440526071982385e-06,8.290268246130945e-07,6.07512891292572e-07,0.3506166628202074,1.0,-6.07512891292572e-07,2.2250773360886166e-07,-1.8225386738777162e-06,0.0,,,False,env_mean_t
capp,1000,48,level_star,p3_star,-5.897995084524155e-06,-1.8396031111478805e-05,4.878691304475065e-06,5.885890487717495e-06,0.50075,8,16000,8,-1.6894462367799085e-05,5.098472198750777e-06,4.650407892868322e-06,0.2452494377544734,0.25,-0.00011228836688932734,7.306676568240826e-07,-1.5355151146650315e-05,-2.4700909852981566e-07,,,False,env_mean_t
