test,recommender,variant,policy,oof_auc_env,oof_bal_acc_tau_off,tau_off,oof_bal_acc_05,k,feature_set,n_features,regret_pooled,regret_lo,regret_hi,d_regret_vs_cp0,d_regret_vs_cp0_lo,d_regret_vs_cp0_hi,search_frac,n_cells,regret_family_A,regret_family_B
A,oracle_prior,reservoir_rule_k16,phi_reservoir_rule,0.6733087250899507,0.6223751928588681,0.63,0.5832743972071016,16,reservoir_rule,7,0.11428505034073569,0.11358036639066996,0.11497006131110539,-0.0339783017623713,-0.034845428156204436,-0.033111933566615334,0.3178201186229594,40,0.13678256214345963,0.09178753853801172
A,posterior_mean,reservoir_rule_k16,phi_reservoir_rule,0.6733087250899507,0.6223751928588681,0.63,0.5832743972071016,16,reservoir_rule,7,0.11450888138528063,0.11379402415601363,0.11519323898821313,-0.03381281822997935,-0.034682007160208736,-0.032949102539914746,0.3178201186229594,40,0.1369674046729335,0.09205035809762777
A,posterior_mean_shrunk,reservoir_rule_k16,phi_reservoir_rule,0.6733087250899507,0.6223751928588681,0.63,0.5832743972071016,16,reservoir_rule,7,0.11429817736325168,0.11359577013383387,0.11498300840386946,-0.03397282964387068,-0.03484212495105567,-0.0331054727195442,0.3178201186229594,40,0.13680068764492095,0.09179566708158235
A,empirical,clock_quality_evidence_k16_nopolicy,phi_k16_nopolicy,0.7427739394034281,0.6811849776344086,0.67,0.6278179400333501,16,clock_quality_evidence,62,0.11232073764490087,0.11161489409569185,0.11302054043218959,-0.03626642335270462,-0.0370998842066183,-0.03543296736788761,0.2175171119767084,40,0.1341649451216719,0.09047653016812984
A,lcb,clock_quality_evidence_k16_nopolicy,phi_k16_nopolicy,0.7427739394034281,0.6811849776344086,0.67,0.6278179400333501,16,clock_quality_evidence,62,0.11020420886586546,0.10952121457979956,0.11087881861072675,-0.038097446188081995,-0.03891421647713287,-0.0372901176927553,0.2175171119767084,40,0.13311178101357438,0.08729663671815652
A,oracle_prior,clock_quality_evidence_k16_nopolicy,phi_k16_nopolicy,0.7427739394034281,0.6811849776344086,0.67,0.6278179400333501,16,clock_quality_evidence,62,0.11020079663853286,0.10951494342443766,0.11087766617711167,-0.03806255546457414,-0.038880453089877844,-0.03724909393000416,0.2175171119767084,40,0.1331169368561394,0.08728465642092634
A,posterior_mean,clock_quality_evidence_k16_nopolicy,phi_k16_nopolicy,0.7427739394034281,0.6811849776344086,0.67,0.6278179400333501,16,clock_quality_evidence,62,0.11028874559594441,0.10960350810790259,0.11096414208688657,-0.03803295401931554,-0.03884587769120117,-0.03722115936150658,0.2175171119767084,40,0.13325033925138777,0.08732715194050107
A,posterior_mean_shrunk,clock_quality_evidence_k16_nopolicy,phi_k16_nopolicy,0.7427739394034281,0.6811849776344086,0.67,0.6278179400333501,16,clock_quality_evidence,62,0.110212202208686,0.10952613010784262,0.11088814247130357,-0.03805880479843636,-0.03887811209948268,-0.03725437005414278,0.2175171119767084,40,0.13312658800464489,0.08729781641272713
A,empirical,clock_quality_evidence_k16_famA_only,phi_k16_famA_only,0.7408546688388334,0.6823977749281216,0.69,0.6455012119144385,16,clock_quality_evidence,62,0.11204914560828838,0.111346390065155,0.1127387601841474,-0.03653801538931711,-0.03736332016444066,-0.03569608018398867,0.20490546990174896,40,0.13386159651735943,0.09023669469921733
A,lcb,clock_quality_evidence_k16_famA_only,phi_k16_famA_only,0.7408546688388334,0.6823977749281216,0.69,0.6455012119144385,16,clock_quality_evidence,62,0.11048539433191547,0.10978830536405439,0.11115401654256857,-0.03781626072203198,-0.03862813331725192,-0.036994889530469664,0.20490546990174896,40,0.13308698345814043,0.08788380520569043
A,oracle_prior,clock_quality_evidence_k16_famA_only,phi_k16_famA_only,0.7408546688388334,0.6823977749281216,0.69,0.6455012119144385,16,clock_quality_evidence,62,0.11048263500790126,0.10978702628257452,0.11115214277066117,-0.03778071709520573,-0.03859118559630588,-0.036950337892049,0.20490546990174896,40,0.1330774037521347,0.08788786626366782
A,posterior_mean,clock_quality_evidence_k16_famA_only,phi_k16_famA_only,0.7408546688388334,0.6823977749281216,0.69,0.6455012119144385,16,clock_quality_evidence,62,0.11056009260852369,0.1098681365896482,0.11123060350844753,-0.03776160700673627,-0.03857797731834581,-0.036929128982301336,0.20490546990174896,40,0.13320049111051632,0.08791969410653111
A,posterior_mean_shrunk,clock_quality_evidence_k16_famA_only,phi_k16_famA_only,0.7408546688388334,0.6823977749281216,0.69,0.6455012119144385,16,clock_quality_evidence,62,0.1104879602947367,0.10979408773418982,0.11115931226646353,-0.03778304671238566,-0.03859582829798455,-0.03696036725646991,0.20490546990174896,40,0.1330921909673154,0.08788372962215799
