level,split,env_id,horizon,cap,base_seed,theta,alpha,c,n_envs,n_episodes,regret,regret_se,k_final,search_frac,is_argmin
env,val,beta_good_common,200,64,5007000,0.55,0.75,3.0,1,2000,0.14636017832159995,0.0019533185381384014,2.5535,0.002795454545454546,False
env,val,beta_good_common,200,64,5007000,0.55,0.75,2.0,1,2000,0.14636017832159995,0.0019533185381384014,2.5535,0.002795454545454546,False
env,val,beta_good_common,200,64,5007000,0.6,0.5,3.0,1,2000,0.13850815597176552,0.001819667745406151,2.6995,0.003532828282828283,False
env,val,beta_good_common,200,64,5007000,0.6,0.5,4.0,1,2000,0.13850815597176552,0.001819667745406151,2.6995,0.003532828282828283,False
env,val,beta_good_common,200,64,5007000,0.6,0.5,6.0,1,2000,0.13850815597176552,0.001819667745406151,2.6995,0.003532828282828283,False
env,val,beta_good_common,200,64,5007000,0.6,0.5,8.0,1,2000,0.13850815597176552,0.001819667745406151,2.6995,0.003532828282828283,False
env,val,beta_good_common,200,64,5007000,0.6,0.75,1.0,1,2000,0.13850815597176552,0.001819667745406151,2.6995,0.003532828282828283,False
env,val,beta_good_common,200,64,5007000,0.6,0.75,1.5,1,2000,0.13850815597176552,0.001819667745406151,2.6995,0.003532828282828283,False
env,val,beta_good_common,200,64,5007000,0.6,0.75,2.0,1,2000,0.13850815597176552,0.001819667745406151,2.6995,0.003532828282828283,False
env,val,beta_good_common,200,64,5007000,0.6,0.75,3.0,1,2000,0.13850815597176552,0.001819667745406151,2.6995,0.003532828282828283,False
env,val,beta_good_common,200,64,5007000,0.625,0.5,4.0,1,2000,0.1286299142241478,0.0017000082068057065,3.0665,0.005386363636363637,False
env,val,beta_good_common,200,64,5007000,0.625,0.5,3.0,1,2000,0.1286299142241478,0.0017000082068057065,3.0665,0.005386363636363637,False
env,val,beta_good_common,200,64,5007000,0.625,0.5,6.0,1,2000,0.1286299142241478,0.0017000082068057065,3.0665,0.005386363636363637,False
env,val,beta_good_common,200,64,5007000,0.625,0.5,8.0,1,2000,0.1286299142241478,0.0017000082068057065,3.0665,0.005386363636363637,False
env,val,beta_good_common,200,64,5007000,0.625,0.75,1.0,1,2000,0.1286299142241478,0.0017000082068057065,3.0665,0.005386363636363637,False
env,val,beta_good_common,200,64,5007000,0.625,0.75,1.5,1,2000,0.1286299142241478,0.0017000082068057065,3.0665,0.005386363636363637,False
env,val,beta_good_common,200,64,5007000,0.625,0.75,2.0,1,2000,0.1286299142241478,0.0017000082068057065,3.0665,0.005386363636363637,False
env,val,beta_good_common,200,64,5007000,0.625,0.75,3.0,1,2000,0.1286299142241478,0.0017000082068057065,3.0665,0.005386363636363637,False
env,val,beta_good_common,200,64,5007000,0.65,0.5,3.0,1,2000,0.12404237538576127,0.0016392639870674761,3.2505,0.006315656565656566,False
env,val,beta_good_common,200,64,5007000,0.65,0.5,6.0,1,2000,0.12404237538576127,0.0016392639870674761,3.2505,0.006315656565656566,False
env,val,beta_good_common,200,64,5007000,0.65,0.5,4.0,1,2000,0.12404237538576127,0.0016392639870674761,3.2505,0.006315656565656566,False
