test,level,cell,rec_a,rec_b,n_policies,kendall_tau
A,cell,tail_b0.5_mu1.0_c1.0_T100_cap64,lcb,oracle_prior,36,0.9935379644588045
A,cell,tail_b0.5_mu1.0_c1.0_T100_cap64,lcb,posterior_mean,36,0.9935379644588045
A,cell,tail_b0.5_mu1.0_c1.0_T100_cap64,lcb,posterior_mean_shrunk,36,1.0
A,cell,tail_b0.5_mu1.0_c1.0_T100_cap64,oracle_prior,posterior_mean,36,1.0
A,cell,tail_b0.5_mu1.0_c1.0_T100_cap64,oracle_prior,posterior_mean_shrunk,36,0.9935379644588045
A,cell,tail_b0.5_mu1.0_c1.0_T100_cap64,posterior_mean,posterior_mean_shrunk,36,0.9935379644588045
A,cell,tail_b0.5_mu1.0_c1.0_T200_cap64,empirical,lcb,36,0.2939297124600639
A,cell,tail_b0.5_mu1.0_c1.0_T200_cap64,empirical,oracle_prior,36,0.28753993610223644
A,cell,tail_b0.5_mu1.0_c1.0_T200_cap64,empirical,posterior_mean,36,0.27476038338658143
A,cell,tail_b0.5_mu1.0_c1.0_T200_cap64,empirical,posterior_mean_shrunk,36,0.28115015974440893
A,cell,tail_b0.5_mu1.0_c1.0_T200_cap64,lcb,oracle_prior,36,0.9808306709265175
A,cell,tail_b0.5_mu1.0_c1.0_T200_cap64,lcb,posterior_mean,36,0.9808306709265175
A,cell,tail_b0.5_mu1.0_c1.0_T200_cap64,lcb,posterior_mean_shrunk,36,0.987220447284345
A,cell,tail_b0.5_mu1.0_c1.0_T200_cap64,oracle_prior,posterior_mean,36,0.987220447284345
A,cell,tail_b0.5_mu1.0_c1.0_T200_cap64,oracle_prior,posterior_mean_shrunk,36,0.9936102236421726
A,cell,tail_b0.5_mu1.0_c1.0_T200_cap64,posterior_mean,posterior_mean_shrunk,36,0.9936102236421726
A,cell,tail_b0.5_mu1.0_c1.0_T500_cap64,empirical,lcb,36,0.04264175851984025
A,cell,tail_b0.5_mu1.0_c1.0_T500_cap64,empirical,oracle_prior,36,0.04264175851984025
A,cell,tail_b0.5_mu1.0_c1.0_T500_cap64,empirical,posterior_mean,36,0.04264175851984025
A,cell,tail_b0.5_mu1.0_c1.0_T500_cap64,empirical,posterior_mean_shrunk,36,0.04264175851984025
A,cell,tail_b0.5_mu1.0_c1.0_T500_cap64,lcb,oracle_prior,36,1.0
A,cell,tail_b0.5_mu1.0_c1.0_T500_cap64,lcb,posterior_mean,36,1.0
A,cell,tail_b0.5_mu1.0_c1.0_T500_cap64,lcb,posterior_mean_shrunk,36,1.0
A,cell,tail_b0.5_mu1.0_c1.0_T500_cap64,oracle_prior,posterior_mean,36,1.0
A,cell,tail_b0.5_mu1.0_c1.0_T500_cap64,oracle_prior,posterior_mean_shrunk,36,1.0
A,cell,tail_b0.5_mu1.0_c1.0_T500_cap64,posterior_mean,posterior_mean_shrunk,36,1.0
A,cell,tail_b0.5_mu1.0_c1.0_T50_cap64,empirical,lcb,36,0.7836342442960542
A,cell,tail_b0.5_mu1.0_c1.0_T50_cap64,empirical,oracle_prior,36,0.7798576937211334
A,cell,tail_b0.5_mu1.0_c1.0_T50_cap64,empirical,posterior_mean,36,0.7836342442960542
A,cell,tail_b0.5_mu1.0_c1.0_T50_cap64,empirical,posterior_mean_shrunk,36,0.7836342442960542
A,cell,tail_b0.5_mu1.0_c1.0_T50_cap64,lcb,oracle_prior,36,0.9960707269155206
A,cell,tail_b0.5_mu1.0_c1.0_T50_cap64,lcb,posterior_mean,36,1.0
A,cell,tail_b0.5_mu1.0_c1.0_T50_cap64,lcb,posterior_mean_shrunk,36,1.0
A,cell,tail_b0.5_mu1.0_c1.0_T50_cap64,oracle_prior,posterior_mean,36,0.9960707269155206
A,cell,tail_b0.5_mu1.0_c1.0_T50_cap64,oracle_prior,posterior_mean_shrunk,36,0.9960707269155206
A,cell,tail_b0.5_mu1.0_c1.0_T50_cap64,posterior_mean,posterior_mean_shrunk,36,1.0
A,cell,tail_b1.0_mu0.9_c2.0_T1000_cap64,empirical,lcb,36,1.0
A,cell,tail_b1.0_mu0.9_c2.0_T1000_cap64,empirical,oracle_prior,36,1.0
A,cell,tail_b1.0_mu0.9_c2.0_T1000_cap64,empirical,posterior_mean,36,1.0
A,cell,tail_b1.0_mu0.9_c2.0_T1000_cap64,empirical,posterior_mean_shrunk,36,1.0
A,cell,tail_b1.0_mu0.9_c2.0_T1000_cap64,lcb,oracle_prior,36,1.0
A,cell,tail_b1.0_mu0.9_c2.0_T1000_cap64,lcb,posterior_mean,36,1.0
A,cell,tail_b1.0_mu0.9_c2.0_T1000_cap64,lcb,posterior_mean_shrunk,36,1.0
A,cell,tail_b1.0_mu0.9_c2.0_T1000_cap64,oracle_prior,posterior_mean,36,1.0
A,cell,tail_b1.0_mu0.9_c2.0_T1000_cap64,oracle_prior,posterior_mean_shrunk,36,1.0
A,cell,tail_b1.0_mu0.9_c2.0_T1000_cap64,posterior_mean,posterior_mean_shrunk,36,1.0
A,cell,tail_b1.0_mu0.9_c2.0_T100_cap64,empirical,lcb,36,0.6464968152866242
A,cell,tail_b1.0_mu0.9_c2.0_T100_cap64,empirical,oracle_prior,36,0.6464968152866242
A,cell,tail_b1.0_mu0.9_c2.0_T100_cap64,empirical,posterior_mean,36,0.6560509554140127
A,cell,tail_b1.0_mu0.9_c2.0_T100_cap64,empirical,posterior_mean_shrunk,36,0.6528662420382165
A,cell,tail_b1.0_mu0.9_c2.0_T100_cap64,lcb,oracle_prior,36,1.0
A,cell,tail_b1.0_mu0.9_c2.0_T100_cap64,lcb,posterior_mean,36,0.9522292993630573
A,cell,tail_b1.0_mu0.9_c2.0_T100_cap64,lcb,posterior_mean_shrunk,36,0.9936305732484076
A,cell,tail_b1.0_mu0.9_c2.0_T100_cap64,oracle_prior,posterior_mean,36,0.9522292993630573
A,cell,tail_b1.0_mu0.9_c2.0_T100_cap64,oracle_prior,posterior_mean_shrunk,36,0.9936305732484076
A,cell,tail_b1.0_mu0.9_c2.0_T100_cap64,posterior_mean,posterior_mean_shrunk,36,0.9522292993630573
A,cell,tail_b1.0_mu0.9_c2.0_T200_cap64,empirical,lcb,36,0.72859450726979
A,cell,tail_b1.0_mu0.9_c2.0_T200_cap64,empirical,oracle_prior,36,0.7318255250403877
A,cell,tail_b1.0_mu0.9_c2.0_T200_cap64,empirical,posterior_mean,36,0.7382875605815832
A,cell,tail_b1.0_mu0.9_c2.0_T200_cap64,empirical,posterior_mean_shrunk,36,0.7253634894991922
A,cell,tail_b1.0_mu0.9_c2.0_T200_cap64,lcb,oracle_prior,36,0.9903069466882068
A,cell,tail_b1.0_mu0.9_c2.0_T200_cap64,lcb,posterior_mean,36,0.9773828756058159
A,cell,tail_b1.0_mu0.9_c2.0_T200_cap64,lcb,posterior_mean_shrunk,36,0.9773828756058159
A,cell,tail_b1.0_mu0.9_c2.0_T200_cap64,oracle_prior,posterior_mean,36,0.987075928917609
A,cell,tail_b1.0_mu0.9_c2.0_T200_cap64,oracle_prior,posterior_mean_shrunk,36,0.987075928917609
A,cell,tail_b1.0_mu0.9_c2.0_T200_cap64,posterior_mean,posterior_mean_shrunk,36,0.9741518578352181
A,cell,tail_b1.0_mu0.9_c2.0_T500_cap64,empirical,lcb,36,0.8145956607495071
A,cell,tail_b1.0_mu0.9_c2.0_T500_cap64,empirical,oracle_prior,36,0.8145956607495071
A,cell,tail_b1.0_mu0.9_c2.0_T500_cap64,empirical,posterior_mean,36,0.8145956607495071
A,cell,tail_b1.0_mu0.9_c2.0_T500_cap64,empirical,posterior_mean_shrunk,36,0.8145956607495071
A,cell,tail_b1.0_mu0.9_c2.0_T500_cap64,lcb,oracle_prior,36,1.0
A,cell,tail_b1.0_mu0.9_c2.0_T500_cap64,lcb,posterior_mean,36,1.0
A,cell,tail_b1.0_mu0.9_c2.0_T500_cap64,lcb,posterior_mean_shrunk,36,1.0
A,cell,tail_b1.0_mu0.9_c2.0_T500_cap64,oracle_prior,posterior_mean,36,1.0
A,cell,tail_b1.0_mu0.9_c2.0_T500_cap64,oracle_prior,posterior_mean_shrunk,36,1.0
A,cell,tail_b1.0_mu0.9_c2.0_T500_cap64,posterior_mean,posterior_mean_shrunk,36,1.0
A,cell,tail_b1.0_mu0.9_c2.0_T50_cap64,empirical,lcb,36,0.8272044213131056
A,cell,tail_b1.0_mu0.9_c2.0_T50_cap64,empirical,oracle_prior,36,0.8206523070848829
A,cell,tail_b1.0_mu0.9_c2.0_T50_cap64,empirical,posterior_mean,36,0.8206523070848829
A,cell,tail_b1.0_mu0.9_c2.0_T50_cap64,empirical,posterior_mean_shrunk,36,0.8239283641989942
