test,recommender,level,family,horizon,cell,env_id,cap,base_seed,hypothesis,pre_registered,label,policy,reference,status,delta,lo,hi,se,win,n_cells,n_episodes,n_envs,cluster_lo,cluster_hi,cluster_se,cluster_p,cluster_p_sign,cluster_boot_t_lo,cluster_boot_t_hi,cluster_pct_lo,cluster_pct_hi,cluster_min_env,cluster_max_env,cluster_degenerate,cluster_method,evaluated,ref_tuned,n_cells_excluded_untuned,params_tuned,n_boot
robust,posterior_mean_shrunk,family,A,all,,,all,,H2,True,P9_16 (clock+quality+evidence) vs P7 (clock+quality): e-process value,phi_k16,phi_k16_quality,ok,-1.3821949256816896e-05,-0.0003919931157755976,0.000358865657806309,0.00019030009788876097,0.5015333333333333,30,15000,6,-0.0010155423487874559,0.0009878984502738222,0.00038968625143290795,0.9730779077891752,1.0,-0.0009947120585118506,0.0010094268827591443,-0.0006461952557166418,0.0006659020516342328,,,False,env_mean_t,True,True,0,True,10000
robust,posterior_mean_shrunk,family,B,all,,,all,,H1a,True,"P9_16 vs cp0, the label continuation policy (necessary condition)",phi_k16,cp0,ok,-0.03011957070522476,-0.031011866445724928,-0.029220186430327387,0.00045251298796857264,0.592175,120,60000,24,-0.04040694798619971,-0.0198321934242498,0.004972972438339392,3.542469884678391e-06,,-0.041242914586644044,-0.020467141449110063,-0.03969051353996212,-0.020759377760239877,,,False,env_mean_t,True,True,0,True,10000
robust,posterior_mean_shrunk,family,B,all,,,all,,H1b,True,P9_16 vs the validation-selected power schedule P3*,phi_k16,p3_star,ok,-0.0007538501189594778,-0.0012405436775947839,-0.000268886574775097,0.0002455913828111091,0.5040833333333333,120,60000,24,-0.0018095172352060197,0.00030181699728706434,0.0005103150521041011,0.1531783564424528,,-0.001747269374555977,0.0003743761382928396,-0.0017074243461480364,0.0002600815121852789,,,False,env_mean_t,True,True,0,True,10000
robust,posterior_mean_shrunk,family,B,all,,,all,,H2,True,P9_16 (clock+quality+evidence) vs P7 (clock+quality): e-process value,phi_k16,phi_k16_quality,ok,0.00011439833746602141,-6.482698181954521e-05,0.00028736265371398376,9.090416241443778e-05,0.5004500000000001,120,60000,24,-9.149949565109962e-05,0.00032029617058314236,9.953209853582885e-05,0.2622191909081095,,-0.00010866617211194615,0.0003072234637008395,-8.082822122300658e-05,0.00030285138235582645,,,False,env_mean_t,True,True,0,True,10000
robust,posterior_mean_shrunk,horizon,all,50,,,all,,H1a,True,"P9_16 vs cp0, the label continuation policy (necessary condition)",phi_k16,cp0,ok,-0.035447797210691114,-0.037898874759622225,-0.03299443218158859,0.00125528141292179,0.5713666666666666,30,15000,30,-0.04665044839786106,-0.02424514602352117,0.0054774539525488984,4.4062227033070846e-07,,-0.0485269786146236,-0.02519623433599459,-0.046597068779754294,-0.025337784986313106,,,False,env_mean_t,True,True,0,True,10000
robust,posterior_mean_shrunk,horizon,all,50,,,all,,H1b,True,P9_16 vs the validation-selected power schedule P3*,phi_k16,p3_star,ok,-0.0009854942348009597,-0.0025231504042431087,0.0005660557078383861,0.0007896676235769329,0.5058666666666666,30,15000,30,-0.003135627801613485,0.001164639332011566,0.001051292002872808,0.35628831367736413,,-0.002989649005070225,0.0012487473165218317,-0.0029817381704606424,0.0010955518940510226,,,False,env_mean_t,True,True,0,True,10000
robust,posterior_mean_shrunk,horizon,all,50,,,all,,H2,True,P9_16 (clock+quality+evidence) vs P7 (clock+quality): e-process value,phi_k16,phi_k16_quality,ok,0.00035198368187411695,9.920485057596427e-05,0.0006232301868452244,0.00013425926598454476,0.49959999999999993,30,15000,30,5.686368786506172e-05,0.0006471036758831721,0.0001442967517825104,0.02106773907160347,,9.945269363356815e-05,0.0007252057299383586,9.330967404879631e-05,0.0006467172531849549,,,False,env_mean_t,True,True,0,True,10000
robust,posterior_mean_shrunk,horizon,all,100,,,all,,H1a,True,"P9_16 vs cp0, the label continuation policy (necessary condition)",phi_k16,cp0,ok,-0.03513112909638633,-0.0373346971423955,-0.03296260972476409,0.0011143712402127777,0.5824,30,15000,30,-0.04703931683730984,-0.02322294135546283,0.005822420864439463,1.451922836639609e-06,,-0.050848821282848816,-0.0248068463578094,-0.04728397982556993,-0.02467471768735753,,,False,env_mean_t,True,True,0,True,10000
robust,posterior_mean_shrunk,horizon,all,100,,,all,,H1b,True,P9_16 vs the validation-selected power schedule P3*,phi_k16,p3_star,ok,-0.0030954476588716112,-0.00460993936052546,-0.0016093591188918802,0.0007574054077591655,0.5089000000000001,30,15000,30,-0.005994537187742918,-0.00019635813000030413,0.001417488515298568,0.03721594846272806,,-0.005937634107047599,-0.00018162214642407273,-0.005830341749672466,-0.00033944626037962853,,,False,env_mean_t,True,True,0,True,10000
robust,posterior_mean_shrunk,horizon,all,100,,,all,,H2,True,P9_16 (clock+quality+evidence) vs P7 (clock+quality): e-process value,phi_k16,phi_k16_quality,ok,0.0004928852379322052,-0.0001397451183696586,0.0011145270723104477,0.0003200967917334739,0.4998333333333333,30,15000,30,-4.767315101658902e-05,0.0010334436268809994,0.0002643020508861374,0.07235065147967087,,-2.5335881459941307e-05,0.001053842255048623,-5.967126662531692e-07,0.0010067001759136711,,,False,env_mean_t,True,True,0,True,10000
robust,posterior_mean_shrunk,horizon,all,200,,,all,,H1a,True,"P9_16 vs cp0, the label continuation policy (necessary condition)",phi_k16,cp0,ok,-0.03268224380705506,-0.03446631611033187,-0.030822653859108682,0.0009293621607144783,0.5911000000000001,30,15000,30,-0.04394135649562489,-0.021423131118485237,0.00550506038863644,1.8948046689599622e-06,,-0.046783923783777444,-0.02318719269027847,-0.043614237963051215,-0.022688624588423415,,,False,env_mean_t,True,True,0,True,10000
robust,posterior_mean_shrunk,horizon,all,200,,,all,,H1b,True,P9_16 vs the validation-selected power schedule P3*,phi_k16,p3_star,ok,-0.00036483790079752605,-0.001158472206344207,0.00041587329025069856,0.00039766834331708743,0.5012,30,15000,30,-0.0020378939027574064,0.0013082181011623544,0.0008180284343108135,0.6589119532515493,,-0.0019168920812575214,0.0013939216314816413,-0.0018908533894519011,0.0012014960125088692,,,False,env_mean_t,True,True,0,True,10000
robust,posterior_mean_shrunk,horizon,all,200,,,all,,H2,True,P9_16 (clock+quality+evidence) vs P7 (clock+quality): e-process value,phi_k16,phi_k16_quality,ok,-0.0002752924710512161,-0.0006933492086579402,0.00014342781213422617,0.0002144799253625107,0.5022,30,15000,30,-0.0007865021425826186,0.0002359172004801863,0.00024995221123351636,0.2797888112678758,,-0.0008034370662115082,0.0002125603182426515,-0.0007615742022792497,0.00019717119447886934,,,False,env_mean_t,True,True,0,True,10000
robust,posterior_mean_shrunk,horizon,all,500,,,all,,H1a,True,"P9_16 vs cp0, the label continuation policy (necessary condition)",phi_k16,cp0,ok,-0.03458974901437759,-0.03588645600885153,-0.033255450653346876,0.0006754387249353676,0.6233333333333333,30,15000,30,-0.045610693561776466,-0.02356880446697872,0.005388609826672846,5.079605758156551e-07,,-0.046593385610170956,-0.023975506357895728,-0.045288943874003985,-0.024196658370022977,,,False,env_mean_t,True,True,0,True,10000
robust,posterior_mean_shrunk,horizon,all,500,,,all,,H1b,True,P9_16 vs the validation-selected power schedule P3*,phi_k16,p3_star,ok,-8.251535892486539e-06,-0.00018411695470412555,0.00016665457993745802,9.016586811251827e-05,0.49996666666666667,30,15000,30,-0.0005228382531220514,0.0005063351813370783,0.0002516033929045589,0.9740621093771744,,-0.00047123547377409035,0.0005647129369886791,-0.0004835376465320586,0.0004897943133115769,,,False,env_mean_t,True,True,0,True,10000
robust,posterior_mean_shrunk,horizon,all,500,,,all,,H2,True,P9_16 (clock+quality+evidence) vs P7 (clock+quality): e-process value,phi_k16,phi_k16_quality,ok,-0.00012671273549397788,-0.0002508340582251549,-3.5543219248454476e-06,6.29691989746826e-05,0.5018666666666667,30,15000,30,-0.0003547899439135442,0.00010136447292558842,0.00011151667456850194,0.2651477267638866,,-0.0004366972948269657,4.64175128610429e-05,-0.00036646730889876685,6.520557602246601e-05,,,False,env_mean_t,True,True,0,True,10000
robust,posterior_mean_shrunk,horizon,all,1000,,,all,,H1a,True,"P9_16 vs cp0, the label continuation policy (necessary condition)",phi_k16,cp0,ok,-0.026190177645782624,-0.027166156733495487,-0.025215234020339948,0.0005023605307098552,0.6202,30,15000,30,-0.034967614122223795,-0.017412741169341456,0.004291663046350299,1.2025734190160927e-06,,-0.03572554527707701,-0.017799957554043865,-0.034714332801848644,-0.018094830187968907,,,False,env_mean_t,True,True,0,True,10000
robust,posterior_mean_shrunk,horizon,all,1000,,,all,,H1b,True,P9_16 vs the validation-selected power schedule P3*,phi_k16,p3_star,ok,-1.1142094930012915e-08,-4.262402852376302e-06,3.7400564551353445e-06,2.0432922022187724e-06,0.4999666666666666,30,15000,30,-3.5296733012971217e-06,3.507389111437096e-06,1.7203599702858267e-06,0.9948768004849049,,-4.557138016631157e-06,2.5504921739110575e-06,-3.88870636622111e-06,2.7414242426554364e-06,,,False,env_mean_t,True,True,0,True,10000
robust,posterior_mean_shrunk,horizon,all,1000,,,all,,H2,True,P9_16 (clock+quality+evidence) vs P7 (clock+quality): e-process value,phi_k16,phi_k16_quality,ok,9.076873461405436e-07,-3.2999495665232335e-07,2.3113529880841567e-06,6.694537318368867e-07,0.49983333333333335,30,15000,30,-4.405516981894194e-07,2.2559263904705066e-06,6.592115704542892e-07,0.1790715028360774,,-3.899595687145059e-08,2.1157391637566624e-06,0.0,2.4026155471801756e-06,,,False,env_mean_t,True,True,0,True,10000
robust,posterior_mean_shrunk,pooled,all,all,,,all,,H1a,True,"P9_16 vs cp0, the label continuation policy (necessary condition)",phi_k16,cp0,ok,-0.03280821935485855,-0.03363724772712098,-0.03198254311192299,0.0004217788541863638,0.5976800000000001,150,75000,30,-0.04299572851417437,-0.022620710195542727,0.0049811077198610295,3.230843336252526e-07,,-0.04486599772065558,-0.02361616521833239,-0.042895094003492874,-0.023548387469691016,,,False,env_mean_t,True,True,0,True,10000
robust,posterior_mean_shrunk,pooled,all,all,,,all,,H1b,True,P9_16 vs the validation-selected power schedule P3*,phi_k16,p3_star,ok,-0.0008908084944915027,-0.0013367802491189601,-0.0004395035193879935,0.00023205045511462806,0.5031800000000001,150,75000,30,-0.0019059983852815132,0.0001243813962985077,0.000496369634918552,0.08314105597563423,,-0.0018755001237046706,0.00014646525256128582,-0.0018538343387582183,3.035960317915292e-05,,,False,env_mean_t,True,True,0,True,10000
robust,posterior_mean_shrunk,pooled,all,all,,,all,,H2,True,P9_16 (clock+quality+evidence) vs P7 (clock+quality): e-process value,phi_k16,phi_k16_quality,ok,8.875428012145373e-05,-6.885955925599168e-05,0.0002526917871292389,8.159238176066365e-05,0.5006666666666666,150,75000,30,-0.00013164414451536294,0.00030915270475827044,0.0001077621896810531,0.4168819651439475,,-0.00013263010530737633,0.00030282524908504404,-0.00012177633959675823,0.0002912843786441565,,,False,env_mean_t,True,True,0,True,10000
