test,cell,policy,env_id,family,horizon,cap,n_states,n_decisions,search_rate,mean_oracle_I_t,mean_oracle_p_t,mean_est_I_hat,mean_est_p,auc_oracle_I_for_decision,auc_oracle_p_for_decision,auc_est_I_hat_for_decision,auc_est_p_for_decision,auc_model_p_for_decision,corr_decision_oracle_I,corr_decision_oracle_p,corr_model_p_oracle_I,spearman_model_p_oracle_I,n_inclinations,inclination_rate,auc_oracle_I_for_inclination,spearman_est_I_hat_oracle_I,spearman_est_p_oracle_p,offline_label_auc_oracle_p_new_beats_best_true,offline_label_auc_oracle_I_t,offline_label_auc_est_p_new_beats_incumbent,offline_label_auc_est_I_hat
A,beta_good_common_T100_cap64,phi_k16_quality,beta_good_common,A,100,64,3072,2944,0.17391304347826086,0.0022062019483346513,0.05528929784834735,0.006384323873331005,0.07896514953169562,0.6520919799804688,0.6520919799804688,0.999677959241365,0.9989688270970394,0.7126954731188323,0.30151019233507387,0.3324317941130449,0.42586311303122115,0.2056392545441722,3072,0.0380859375,0.7752946620966925,0.19332185998162463,0.1568979993991974,0.8477575630565284,0.8946424089234634,0.585643393994592,0.6227817527505852
A,beta_good_common_T100_cap64,rule_reservoir,beta_good_common,A,100,64,3072,2944,0.6521739130434783,0.0013859770118450424,0.03310028123290359,0.016659009751809516,0.19107736652954022,0.6621582031250001,0.6621582031250001,0.9995259602864583,0.9991378784179689,,0.14029359503559383,0.23178172405881942,,,0,,,0.28410546236187356,0.2519743404034997,0.8477575630565284,0.8946424089234634,0.585643393994592,0.6227817527505852
A,beta_good_common_T200_cap64,phi_k16,beta_good_common,A,200,64,3072,2944,0.10292119565217392,0.0013626310579740676,0.04631856751517669,0.0031576640969707124,0.05077263534730062,0.6093520181249475,0.6093520181249475,0.8855831436986941,0.874286292695911,0.6288022213807901,0.21202165286760413,0.19437501823785894,0.23479925220074324,0.18735319122356034,3072,0.02734375,0.6832309396315421,0.25224064996213563,0.19547950041079132,0.8679564499695281,0.9172309342311168,0.6072406266359196,0.6448817341085273
A,beta_good_common_T200_cap64,phi_k16_all71,beta_good_common,A,200,64,3072,2944,0.11650815217391304,0.0012303460997362447,0.04332959084953758,0.003080505296872151,0.04889766694702958,0.619267875217314,0.619267875217314,0.8363872159508061,0.8188182836159674,0.6553366444617064,0.226577651985642,0.22073041296024767,0.21723716156435072,0.17054773008350177,3072,0.037434895833333336,0.671707517901516,0.24178165049970804,0.192486913997486,0.8679564499695281,0.9172309342311168,0.6072406266359196,0.6448817341085273
A,beta_good_common_T200_cap64,phi_k16_clock,beta_good_common,A,200,64,3072,2944,0.21739130434782608,0.0006628397252662799,0.027119428725084698,0.006591057396224481,0.08067415540868168,0.66253662109375,0.66253662109375,0.9772772894965278,0.974652099609375,1.0,0.23778422244500913,0.31599193939659886,0.350460096226395,0.17636055905564862,3072,0.20833333333333334,0.66253662109375,0.24331245129379636,0.24485248236853552,0.8679564499695281,0.9172309342311168,0.6072406266359196,0.6448817341085273
A,beta_good_common_T200_cap64,phi_k16_cs,beta_good_common,A,200,64,3072,2944,0.10292119565217392,0.0013698127974264187,0.0464961554711612,0.003163226628452715,0.05088220723403233,0.6062135179818626,0.6062135179818626,0.8882873898900682,0.8768218359132393,0.6239298295600102,0.20961820128466124,0.1906709638663347,0.2360551685107688,0.1899441512523772,3072,0.027018229166666668,0.6830748890510183,0.2536699032175323,0.19572035603164228,0.8679564499695281,0.9172309342311168,0.6072406266359196,0.6448817341085273
A,beta_good_common_T200_cap64,phi_k16_quality,beta_good_common,A,200,64,3072,2944,0.08967391304347826,0.0015208889180561135,0.04941822437472946,0.0032045035081006237,0.05199980312292252,0.5959449909543194,0.5959449909543194,0.9870505427408413,0.9825291157847128,0.5344032677521483,0.18030749615614708,0.16375385764745348,0.23448249575861912,0.15515403088436108,3072,0.018880208333333332,0.7167728760039357,0.22689858352702857,0.15641870222049942,0.8679564499695281,0.9172309342311168,0.6072406266359196,0.6448817341085273
A,beta_good_common_T200_cap64,rule_reservoir,beta_good_common,A,200,64,3072,2944,0.30434782608695654,0.0005849783502512356,0.02389862167849677,0.007758849917978985,0.09457727925369021,0.6720973423549107,0.6720973423549107,0.999847412109375,0.9996326991489956,,0.209431909303503,0.30921633038798774,,,0,,,0.25409350073416603,0.25137731430085947,0.8679564499695281,0.9172309342311168,0.6072406266359196,0.6448817341085273
A,beta_good_common_T500_cap64,phi_k16,beta_good_common,A,500,64,3072,2944,0.06080163043478261,0.0006910591550592086,0.02957695539963968,0.0005434017488117358,0.016156628250910004,0.5779647832543668,0.5779647832543668,0.7362098053279723,0.6921959449220604,0.9479648842777334,0.07449482219010609,0.07740927292965467,0.18124365419251362,0.1750622815847205,3072,0.054036458333333336,0.623745843663712,0.4023157120147781,0.368100690254167,0.8301234312942936,0.8974563052832495,0.5739398030451561,0.6126022615352111
A,beta_good_common_T500_cap64,phi_k16_all71,beta_good_common,A,500,64,3072,2944,0.07846467391304347,0.0006332635840404282,0.027284391349623512,0.0004902082984192422,0.014185965270688756,0.5850610257171259,0.5850610257171259,0.7430569185084482,0.6998817621744271,0.9469142480568947,0.06782605780642868,0.0805272438896523,0.1712119486760072,0.14903721700039838,3072,0.08138020833333333,0.622190644932672,0.40865108414744483,0.37357707719459904,0.8301234312942936,0.8974563052832495,0.5739398030451561,0.6126022615352111
